,Date,Sales,Customers,DayOfWeek,Year,Month,Day
0,2022-01-01,56,30,6,2022,1,1
1,2022-01-02,79,14,7,2022,1,2
2,2022-01-03,87,25,1,2022,1,3
3,2022-01-04,86,12,2,2022,1,4
4,2022-01-05,63,29,3,2022,1,5
5,2022-01-06,59,14,4,2022,1,6
6,2022-01-07,73,24,5,2022,1,7
7,2022-01-08,87,13,6,2022,1,8
8,2022-01-09,50,24,7,2022,1,9
9,2022-01-10,54,20,1,2022,1,10
10,2022-01-11,76,25,2,2022,1,11
11,2022-01-12,93,17,3,2022,1,12
12,2022-01-13,81,14,4,2022,1,13
13,2022-01-14,59,29,5,2022,1,14
14,2022-01-15,77,12,6,2022,1,15
15,2022-01-16,64,15,7,2022,1,16
16,2022-01-17,73,21,1,2022,1,17
17,2022-01-18,95,25,2,2022,1,18
18,2022-01-19,96,22,3,2022,1,19
19,2022-01-20,83,11,4,2022,1,20
20,2022-01-21,68,16,5,2022,1,21
21,2022-01-22,91,15,6,2022,1,22
22,2022-01-23,87,26,7,2022,1,23
23,2022-01-24,57,13,1,2022,1,24
24,2022-01-25,76,24,2,2022,1,25
25,2022-01-26,92,19,3,2022,1,26
26,2022-01-27,72,24,4,2022,1,27
27,2022-01-28,79,10,5,2022,1,28
28,2022-01-29,68,28,6,2022,1,29
29,2022-01-30,61,28,7,2022,1,30
30,2022-01-31,97,21,1,2022,1,31
31,2022-02-01,53,22,2,2022,2,1
32,2022-02-02,69,15,3,2022,2,2
33,2022-02-03,77,21,4,2022,2,3
34,2022-02-04,94,23,5,2022,2,4
35,2022-02-05,51,21,6,2022,2,5
36,2022-02-06,81,25,7,2022,2,6
37,2022-02-07,68,26,1,2022,2,7
38,2022-02-08,60,27,2,2022,2,8
39,2022-02-09,91,29,3,2022,2,9
40,2022-02-10,50,14,4,2022,2,10
41,2022-02-11,83,11,5,2022,2,11
42,2022-02-12,56,23,6,2022,2,12
43,2022-02-13,71,11,7,2022,2,13
44,2022-02-14,73,23,1,2022,2,14
45,2022-02-15,58,25,2,2022,2,15
46,2022-02-16,76,21,3,2022,2,16
47,2022-02-17,66,30,4,2022,2,17
48,2022-02-18,58,28,5,2022,2,18
49,2022-02-19,59,10,6,2022,2,19
50,2022-02-20,76,12,7,2022,2,20
51,2022-02-21,70,12,1,2022,2,21
52,2022-02-22,76,13,2,2022,2,22
53,2022-02-23,73,24,3,2022,2,23
54,2022-02-24,80,10,4,2022,2,24
55,2022-02-25,50,20,5,2022,2,25
56,2022-02-26,93,11,6,2022,2,26
57,2022-02-27,72,29,7,2022,2,27
58,2022-02-28,94,15,1,2022,2,28
59,2022-03-01,100,24,2,2022,3,1
60,2022-03-02,77,14,3,2022,3,2
61,2022-03-03,53,18,4,2022,3,3
62,2022-03-04,74,22,5,2022,3,4
63,2022-03-05,84,15,6,2022,3,5
64,2022-03-06,64,10,7,2022,3,6
65,2022-03-07,54,19,1,2022,3,7
66,2022-03-08,52,29,2,2022,3,8
67,2022-03-09,64,21,3,2022,3,9
68,2022-03-10,94,10,4,2022,3,10
69,2022-03-11,62,23,5,2022,3,11
70,2022-03-12,60,26,6,2022,3,12
71,2022-03-13,59,21,7,2022,3,13
72,2022-03-14,56,21,1,2022,3,14
73,2022-03-15,64,16,2,2022,3,15
74,2022-03-16,67,20,3,2022,3,16
75,2022-03-17,67,26,4,2022,3,17
76,2022-03-18,80,14,5,2022,3,18
77,2022-03-19,88,27,6,2022,3,19
78,2022-03-20,58,18,7,2022,3,20
79,2022-03-21,87,25,1,2022,3,21
80,2022-03-22,56,21,2,2022,3,22
81,2022-03-23,87,24,3,2022,3,23
82,2022-03-24,98,10,4,2022,3,24
83,2022-03-25,99,22,5,2022,3,25
84,2022-03-26,84,23,6,2022,3,26
85,2022-03-27,81,19,7,2022,3,27
86,2022-03-28,57,25,1,2022,3,28
87,2022-03-29,94,21,2,2022,3,29
88,2022-03-30,96,11,3,2022,3,30
89,2022-03-31,80,30,4,2022,3,31
90,2022-04-01,98,27,5,2022,4,1
91,2022-04-02,63,15,6,2022,4,2
92,2022-04-03,52,21,7,2022,4,3
93,2022-04-04,90,20,1,2022,4,4
94,2022-04-05,87,25,2,2022,4,5
95,2022-04-06,56,15,3,2022,4,6
96,2022-04-07,89,14,4,2022,4,7
97,2022-04-08,82,17,5,2022,4,8
